article_incident_title,incday,incmo,incyr,province_psgc,municipality_psgc,city_psgc,actors_affiliation1,actors_effect1,manifestation_code1,incident_causes_code1,geo_tag_longitude,geo_tag_latitude,actors_count_number,inc_cat
12 BIFF men killed in Maguindanao offensive,10,3,2019,153800000,-98,-99,2,-98,927,5017,124.5211915,6.895482565,0,5
12 NPA rebels surrender,26,11,2018,153600000,153610000,-99,9,14,2042,5008,124.3518773,8.047746144,12,5
120 loose firearms surrendered,22,6,2020,153800000,153805000,-99,16,-98,2037,8008,124.8712631,6.744293835,1,8
123 die from clash (123 patay sa engkwentro),1,2,2016,153600000,153607000,-99,2,6,927,5017,124.311528,7.738184856,23,5
"13 Abu Sayyaf surrender (13 Abu Sayyaf, mitahan)",9,7,2018,156600000,-98,-99,1,14,2042,3015,121.0037527,6.053626626,14,3
13 Dawlah members surrender to Army,15,7,2020,153800000,153829000,-99,3,14,2037,3015,124.5580074,6.912698472,13,3
13 injured in wedding (13 sugatan sa nagwala sa kasalan),30,3,2012,150700000,150705000,-99,16,4,2031,-98,122.0155491,6.4829046,19,9
13 Marine soldiers killed in Marawi,9,6,2017,153600000,-99,153617000,2,6,927,5017,124.2931198,8.001576158,53,5
13 Sayyaf supporters brought to military camps,18,11,2014,156600000,156613000,-99,24,-98,9999,2013,121.1414263,5.996308342,13,2
"14 BIFF killed, 9 soldiers injured in Datu Piang, Maguindanao",6,3,2015,153800000,153806000,-99,2,4,927,5008,124.4974405,7.0178051,32,5
"14 BIFF members surrender (14 miyembro ng BIFF, sumuko)",9,9,2019,153800000,-98,-99,3,14,2042,3015,124.3691701,6.955952969,15,3
14 drug pushers arrested in buy-bust (14 pushers sikpaw sa buy-bust),10,3,2017,-99,-99,129804000,30,-98,2036,8004,124.2353465,7.201788887,14,8
"14 Sayyaf killed, says military ",23,4,2016,156600000,156611000,-99,1,6,926,5017,121.105957,6.03540776,19,5
"15 ASG members, including 1 wanted in Malaysia, surrender to Army ",11,12,2020,156600000,-98,-99,2,-98,2037,3015,121.0037527,6.053626626,15,3
"15 BIFFs killed, bomb expert nabbed",10,6,2018,153800000,153819000,-99,3,9,926,5017,124.7493028,6.835991149,16,5
"151,000 sacks of smuggled rice held",24,2,2015,156600000,156610000,-99,-98,-98,2037,8002,121.1595842,5.8288038,5,8
"15-year-old student killed in Datu Piang, Maguindanao (15 anyos tinun-an, gipatay)",3,9,2014,153800000,153806000,-99,24,6,2031,3006,124.4949675,7.018353267,9,3
16  tired  BIFF members yield,23,1,2020,153800000,153813000,-99,3,14,2042,3015,124.6921833,6.891734666,13,3
16  tired  BIFF members yield 2,23,1,2020,153800000,153819000,-99,3,14,2042,3015,124.7493028,6.835991149,5,3
16 more Dawlah members surrender to 6th ID,18,8,2020,153800000,153828000,-99,3,14,2037,3015,124.5204972,6.879014244,16,3
"17 BIFF, Abu bandits surrender ",10,5,2018,153800000,153819000,-99,3,14,2042,3015,124.7677748,6.795875982,12,3
"17 killed in MILF-BIFF conflict  (17 patay sa away tali MILF, BIFF)",11,8,2011,153800000,153825000,-99,7,-98,927,5002,124.4279743,7.002127315,676,5
18 firearms surrendered 1,1,3,2019,156600000,156605000,-99,-98,14,2037,5011,121.0236097,5.931300434,1,5
18 firearms surrendered 2,1,3,2019,156600000,156602000,-99,-98,14,2037,5011,121.0037527,6.053626626,1,5
18 firearms surrendered 3,1,3,2019,156600000,156613000,-99,-98,14,2037,5011,121.1096194,5.977793357,1,5
18 firearms surrendered 4,1,3,2019,156600000,156604000,-99,-98,14,2037,5011,121.3278648,5.97328739,1,5
18 firearms surrendered 5,1,3,2019,156600000,156614000,-99,-98,14,2037,5011,120.8855147,5.709815712,0,5
18 soldiers killed in pursuit of Abu Sayyaf bandits in Basilan,9,4,2016,150700000,150706000,-99,2,6,926,5017,122.1429226,6.491034188,85,5
18-year old bomb maker killed (18-anyos bomb maker napatay),4,7,2020,153800000,153808000,-99,3,6,9999,3015,124.4588817,6.856527147,1,3
2 Abu bandits slain;  soldiers clash  with Mautes anew ,18,3,2019,153600000,153620000,-99,2,-98,927,5017,124.1266859,7.735946967,0,5
2 Abu Sayyaf  bombers  surrender,20,2,2020,150700000,150710000,-99,1,14,2042,3015,122.2757485,6.635366236,4,3
2 Abu Sayyaf bandit killed in Basilan clash,7,5,2015,150700000,150710000,-99,12,-98,927,5008,122.275064,6.636416236,38,5
"2 Abu Sayyaf bandits killed in clash in Patikul, Sulu",17,5,2017,156600000,156611000,-99,2,-98,927,5017,121.1022942,6.0630225,2,5
2 Abu Sayyaf bandits surrender,11,9,2020,156600000,156611000,-99,1,14,2042,3015,121.1165229,6.084115221,2,3
2 Abu sayyaf bandits surrender ,26,2,2019,156600000,156607000,-99,1,14,2042,5017,121.2211817,5.982175631,2,5
2 Abu Sayyaf camps seized,1,11,2015,156600000,156611000,-99,2,-98,927,5008,121.0507561,6.025493583,10,5
2 Abu Sayyaf members surrender in Sulu,25,9,2020,156600000,156601000,-99,1,14,2037,3015,120.9932027,6.017223621,3,3
2 Abu Sayyaf nabbed in Tawi-Tawi,26,7,2017,157000000,157001000,-99,1,2,919,5017,119.8830199,5.091288917,2,5
2 Abu Sayyaf supporters surrender ,15,4,2019,150700000,150711000,-99,2,-98,2042,5017,122.1172876,6.451371618,2,5
"2 Abus fall in Marawi City, Lanao del Sur",13,5,2013,153600000,-99,153617000,1,9,915,5008,124.2793359,8.0072879,2,5
2 Abus nabbed in foiled bombing,3,3,2016,156600000,156611000,-99,16,9,926,5017,121.060688,6.057166063,1,5
"2 alleged drug pushers arrested (2 pinaniniwalaang tulak, arestado)",22,6,2018,-99,-99,129804000,30,-98,2036,8004,124.2541387,7.217705426,3,8
"2 alleged pushers slain, 4 cops wounded in anti-drug operation",7,8,2017,156600000,156605000,-99,16,6,927,8004,121.021999,5.931433005,11,8
2 apprehended for illegal possession of firearms in Cotabato City (2 nagdala pusil sikpaw) ,3,5,2013,-99,-99,129804000,16,2,2037,8008,124.2310439,7.2046668,2,8
"2 armed families clash in Buldon, Maguindanao (2 ka armadong pamilya nagbinigwasay)",3,2,2015,153800000,153802000,-99,29,-98,927,3006,124.3952093,7.428878958,10,3
2 armed groups clash (2 armado grupo naggiyera),27,5,2019,153800000,153810000,-99,7,-98,927,5002,124.7229068,7.031393711,2,5
"2 armed groups clash in Brgy. Talitay, Talitay, Maguindanao (2 armadong grupo nagkasagupa sa Maguindanao)",1,6,2013,153800000,153821000,-99,-98,-98,2031,5011,124.3708534,7.030013844,12,5
2 arrested for illegal firearms and ammunition (2 kulong matapos mahulihan ng baril at bala),20,10,2018,153800000,153807000,-99,16,2,2036,8008,124.2388347,7.163972118,2,8
2 arrested in pot session (2 arestado sa pot session),4,3,2020,-99,-99,129804000,16,2,2036,8004,124.2574471,7.220192174,2,8
"2 arrested, grenade, guns and ammunition recovered in search ops (2 arestado, granada, baril at bala",7,2,2020,153800000,153817000,-99,31,9,2039,2013,124.1703224,6.780483507,4,2
"2 arrested, Php 6.8-M shabu recovered in Cotabato bust",27,4,2018,-99,-99,129804000,16,2,2036,8004,124.2541387,7.217705426,3,8
2 BIFF camps taken over by the military (2 dagkong kampo sa BIFF nailog),15,3,2015,153800000,153826000,-99,2,-98,927,2013,124.4459582,6.983026826,16,2
2 BIFF killed in attack (BIFF napatyan og  2 pag atake),5,7,2015,153800000,153826000,-99,3,6,927,5008,124.4258821,6.934427228,15,5
"2 BIFF killed, 4 others arrested in an encounter (2 BIFF patay, 4 sikop sa engkwentro)",10,6,2014,153800000,153820000,-99,2,-98,927,5008,124.5005726,6.951772741,15,5
2 BIFF members killed in military air strike (2 BIFF patay sa  air to ground  assault sa militar),2,3,2020,153800000,153837000,-99,3,6,926,3015,124.5652199,6.964045882,3,3
2 BIFF members surrender in Maguindanao,5,6,2020,153800000,153814000,-99,3,14,2037,3015,124.3329296,7.167043633,3,3
2 BIFF men nabbed in Maguindanao ,7,5,2020,153800000,153806000,-99,3,2,2036,5017,125.2595977,7.041428325,3,5
"2 BIFF patay, 3 Army naangol (2 BIFF killed, 3 Army injured)",29,7,2017,153800000,153827000,-99,3,6,927,5017,124.4351676,6.891716498,5,5
2 BIFF surrender to mayor (2 BIFF misurender sa mayor),21,12,2020,153800000,153822000,-99,3,14,2037,3015,124.7698043,7.109004493,5,3
"2 BIFM, 1 MILF killed in encounter (Engkwentro; 2 patay sa BIFM, 1 sa MILF)",30,9,2011,153800000,153825000,-99,7,9,927,5002,124.3865392,6.954103,13,5
2 blasts rock Maguindanao 1,19,1,2018,153800000,153807000,-99,3,9,926,5017,124.2088797,7.180124466,0,5
2 blasts rock Maguindanao 2,19,1,2018,153800000,153807000,-99,3,9,926,5017,124.2088797,7.180124466,0,5
2 bombs explode (2 bomba misusikad),26,10,2018,153800000,153801000,-99,3,-98,926,5017,124.4668092,6.834806848,1,5
"2 bombs found in Buluan, Maguindanao",20,11,2011,153800000,153803000,-99,-98,9,917,8008,124.8016945,6.7432665,2,8
"2 cadavers found in Brgy. Macasampen, Guindulungan, Maguindanao",11,8,2014,153800000,153825000,-99,-98,6,2031,-98,124.3942371,6.954548043,3,9
2 children believed kidnapped in Cotabato City (2 paslit dinukot?) ,21,9,2011,-99,-99,129804000,24,5,915,8009,124.2310439,7.2046668,4,8
"2 children dead in Basilan blast in Brgy. Bohe-Piang, Al-Barka, Basilan",2,12,2016,150700000,150709000,-99,24,6,926,8008,122.1332466,6.462164971,5,8
"2 civilians injured, caught in crossfire between military and BIFF (2 sibilyan samdan, napagan sa giyera)",24,3,2015,153800000,153806000,-99,3,9,927,5008,124.4501093,7.041280914,12,5
2 cops hurt in BIFF bombing,4,3,2016,153800000,153825000,-99,3,9,926,5017,124.3996371,6.936685813,7,5
"2 dead, 9 hurt in dynamite blast in Jolo",22,4,2016,156600000,156602000,-99,-98,-98,926,8008,121.0080767,6.058947101,12,8
2 drivers dead after stabbing incident (2 drayber nag-nilubaay patay),27,5,2014,153800000,153802000,-99,16,6,906,3005,124.4186841,7.408218637,2,3
"2 drug personalities killed, 5 others nabbed",30,5,2020,-99,-99,129804000,16,6,2031,8004,124.2485058,7.219121958,7,8
"2 drug pushers apprehended (2 pusher, nasapon)",16,1,2017,153800000,153807000,-99,14,-98,2038,8004,124.2200147,7.149563294,3,8
2 drug pushers fall in Cotabato City,26,3,2011,-99,-99,129804000,16,2,2038,8004,124.2298761,7.215875267,2,8
"2 families clash, civilians evacuate (2 pamilya nagpinusilay, mga sibilyan namakwit)",3,12,2013,153800000,153802000,-99,29,9,927,3006,124.4186841,7.408218637,102,3
2 families in firefight (2 ka pamilya nagpinusilay),2,1,2019,153800000,153810000,-99,29,-98,927,3006,124.730389,7.074542833,6,3
"2 families in Maguindanao clash, 1 BPAT wounded (2 ka iladong pamilya sa Maguindanao nag",13,4,2019,153800000,153825000,-99,29,-98,927,3006,124.4279743,7.002127315,1,3
2 farmers die in bomb blast,25,1,2018,153800000,153837000,-99,3,9,926,5017,124.5508619,6.997925547,3,5
2 feuding families settle disputes,5,12,2019,150700000,150703000,-99,29,-98,2037,3006,121.8093897,6.596622723,0,3
2 gov t employees caught selling shabu,30,4,2017,-99,-99,129804000,30,2,2036,8004,124.2457088,7.224224435,2,8
2 grenades thrown at a house in Cotabato City (Balay gilabayan og 2 ka granada),13,6,2014,-99,-99,129804000,16,-98,926,-98,124.2457088,7.224224435,4,9
"2 guards gunned down, robbed in Brgy. Bara-as, Picong, Lanao del Sur ",27,8,2015,153600000,153635000,-99,-98,6,2031,1007,124.0358864,7.686086323,4,1
2 hurt in Maguindanao explosion (2 sugatan sa pagsabog sa Maguindanao),12,8,2018,153800000,153808000,-99,2,4,926,5017,124.462586,6.87663851,1,5
2 hurt in Sulu clash,8,2,2014,156600000,156613000,-99,12,4,927,5008,121.1022942,5.9521498,18,5
2 IED found on Maguindanao fields (2 IED nakaplagan sa uma sa Maguindanao),23,3,2020,153800000,153825000,-99,2,-98,2037,3015,124.3942371,6.954548043,2,3
2 IEDs explode (2 IED mibusikad),2,7,2018,153800000,153808000,-99,2,-98,926,5017,124.4730399,6.869112856,0,5
2 injured in shooting incident (2 sugatan sa pamamaril),15,3,2020,153800000,153826000,-99,16,4,2031,-98,124.4203443,6.960310754,3,9
2 IS-inspired group members yield ,15,7,2019,153600000,153628000,-99,2,-98,2037,3015,124.1606551,7.744742358,2,3
2 ISIS fighters yield in Lanao,24,11,2020,153600000,153613000,-99,36,14,2037,3015,124.0907232,7.886095509,2,3
2 jailed for illegal drugs (2 kulong sa ilegal na droga),4,10,2018,-99,-99,129804000,14,-98,2036,8004,124.2457088,7.224224435,1,8
2 kids die in Maguindanao blast,1,3,2020,153800000,153824000,-99,24,6,926,8008,124.2764278,7.285063576,2,8
2 kids killed in gov t operation,8,3,2017,150700000,150713000,-99,24,6,927,5017,122.0067105,6.29856217,20,5
"2 kids, 2 others shot dead in Cotabato City",28,2,2016,-99,-99,129804000,16,6,2031,-98,124.2497832,7.223115208,6,9
2 killed by armed group (2 gipatay sa mga armado),25,10,2013,153800000,153825000,-99,-98,6,2031,-98,124.4296353,6.988838662,7,9
2 killed in Basilan gun violence,27,5,2014,150700000,150707000,-99,16,6,2031,-98,122.2275294,6.594535026,6,9
2 killed in Basilan gun violence,27,5,2014,150700000,-99,150702000,16,6,2031,-98,122.1403079,6.671018915,2,9
2 killed in clash between 2 armed groups of BIFF (2 patay sa giyera sa 2 armadong grupo sa BIFF),26,4,2018,153800000,153837000,-99,3,9,927,5002,124.48381,6.898480698,8,5
"2 killed, 1 injured in duel (2 patay, 1 angin sa duelo)",24,4,2014,150700000,150710000,-99,16,4,2031,-98,122.2554538,6.609015401,3,9
"2 killed, 2 injured in shooting in Cotabato City (2 patay, 2 angol pagpamusil) ",3,8,2014,-99,-99,129804000,16,6,2031,-98,124.2416605,7.225171479,7,9
"2 killed, 5 hurt in Basilan clash",7,2,2014,150700000,150705000,-99,11,6,927,7007,122.0155491,6.4829046,14,7
"2 killed, 6 wounded in clash of MILF members (2 patay, 6 sugatan sa away ng miyembro ng MILF)",20,1,2018,153800000,153826000,-99,7,6,927,5002,124.465993,6.976280188,2008,5
"2 killed, 7 injured in Sulu clash ",29,8,2020,156600000,156611000,-99,2,6,927,3015,121.0901093,6.04808606,9,3
"2 killed, 7 wounded in clash of soldiers, bandits in Sulu ",29,8,2020,156600000,156611000,-99,2,6,927,3015,121.0901093,6.04808606,13,3
2 Lanao Sur town officials turn over loose firearms,1,8,2020,153600000,153625000,-99,31,-98,2037,8008,124.2598951,8.051947966,3,8
"2 LTO employees killed in Brgy. Poblacion 2, Cotabato City (2 taga-LTO itinumba)",15,3,2011,-99,-99,129804000,16,6,2031,-98,124.2559866,7.217648808,4,9
2 Marines hurt in Sulu clash,6,4,2013,156600000,156613000,-99,2,-98,927,5008,121.1022942,5.9521498,12,5
2 Maute men yield,26,1,2020,153600000,153621000,-99,34,14,2037,3015,124.1822968,7.959216256,2,3
2 Maute remnants surrender in Lanao del Sur,3,12,2018,153600000,153628000,-99,34,14,2042,3015,124.0817998,7.687293617,3,3
2 Maute-ISIS members yield,11,1,2019,153600000,153620000,-99,36,14,2037,3015,124.0819861,7.773529535,2,3
2 members of armed lawless group killed in encounter ( 2 ALG patay sa engkuwentro),19,8,2020,153800000,153803000,-99,-98,9,2031,5009,124.8353179,6.720606242,2,5
"2 members of drug syndicate in Maguindanao arrested (2 miyembro ng drug syndicate sa Maguindanao, ar",28,2,2018,153800000,153812000,-99,16,2,2036,8004,124.329131,7.283312485,2,8
2 men gun municipal assessor,8,3,2017,-99,-99,129804000,16,4,2031,-98,124.2574471,7.220192174,3,9
"2 men gunned down in Indanan, Sulu",24,8,2015,156600000,156601000,-99,16,6,2031,-98,120.9911201,6.036994755,8,9
2 men wounded in shooting (2 lalaki sugatan sa pamamaril),26,11,2018,153800000,153812000,-99,16,4,2031,-98,124.3076389,7.269439902,2,9
2 MILF base commands clash (2 base command sa MILF nagpinatyanay),26,2,2018,153800000,153826000,-99,7,-98,2031,5002,124.465993,6.976280188,8,5
"2 MILF commanders clash in Brgy. Barurao, Sultan Sa Barongis, Maguindanao",8,11,2016,153800000,153813000,-99,7,9,927,3006,124.6008607,6.882561531,11,3
"2 MILF commanders clash in Brgy. Montay, Northern Kabintalan, Maguindanao",19,11,2016,153800000,153834000,-99,7,-98,927,3006,124.4371286,7.121222962,12,3
"2 MILF commanders clash in Maguindanao (2 kumander sa MILF subling nagsugat, nagpinikhanay)",21,3,2017,153800000,153813000,-99,7,6,2031,7004,124.6008607,6.882561531,113,7
"2 MILF commanders in shootout (2 kumander sa MILF, nag-unay g pinusilay)",5,3,2017,153800000,153825000,-99,7,-98,927,7004,124.3865392,6.954103,15,7
"2 MILF families clash in Pagalungan, Maguindanao (2 pamilya sa MILF nagbirahanay)",1,8,2014,153800000,153810000,-99,7,6,927,3006,124.7519807,6.9692802,11,3
2 MILF members wounded in clash in Maguindanao (2 MILF member sugatan sa engkwentro sa Maguindanao),1,12,2019,153800000,153816000,-99,-98,9,927,-98,124.4106937,7.020310631,2,9
2 MILF men killed in clash with Army,14,2,2011,153800000,153832000,-99,7,6,927,7004,124.86286,6.676350039,10,7
"2 military boats destroyed by rocket-propelled grenade in Datu Anggal Midtimbang, Maguindanao (2 speed boat sa military naigo sa RPG nabungkag?)",21,11,2016,153800000,153831000,-99,3,4,927,5017,124.4436831,7.01895412,19,5
"2 military detachments attacked, 4 BIFF members killed (2 detachment sa militar gisulong, 4 BIFF patay)",20,7,2014,153800000,153806000,-99,3,6,927,5008,124.5102959,7.014152426,18,5
2 minor Maute militants surrender in Cotabato,23,12,2018,-99,-99,129804000,34,14,2042,5017,124.2534069,7.216784846,2,5
"2 MNLF factions figure in Maguindanao clash (Brgy. Ganasi, Upi and Brgy. Lamud, South Upi, Maguindanao)",21,5,2013,153800000,153815000,-99,8,-98,927,5011,124.1737093,6.938882416,11,5
2 MNLF factions in deadly Sulu showdown ,8,8,2020,156600000,156609000,-99,8,4,927,3015,120.8942115,5.973312471,10,3
2 more hurt in another ambush in Cotabato City,26,2,2020,-99,-99,129804000,16,4,905,-98,124.2353465,7.201788887,2,9
2 Moro fronts clash (2 Moro fronts nagkasabay),7,3,2019,153800000,153807000,-99,8,-98,927,5002,124.3024731,7.005649678,2,5
"2 most wanted persons, 6 others nabbed",18,8,2020,-99,-99,99701000,16,2,2036,2013,121.9689345,6.688683599,2,2
"2 Muslim women defend Christians in Marawi City, Lanao del Sur",23,5,2017,153600000,-99,153617000,16,3,917,5017,124.2707616,8.005966796,28,5
2 nabbed for illegal quarrying,18,3,2018,-99,-99,99701000,16,2,2036,7001,122.0196699,6.722955007,5,7
"2 persons shot dead in Brgy. Labu-Labu 2, Datu Hoffer Ampatuan, Maguindanao (2 tawo gipaarakan og mga bala, patay) ",22,8,2016,153800000,153835000,-99,16,6,2031,-98,124.4508038,6.842607446,4,9
"2 pushers, barangay chairman arrested (2 pusher gidakop; kapitan apil g posas)",6,8,2020,153800000,153812000,-99,31,2,2036,8004,124.2641271,7.210206648,4,8
"2 rangers, 5 Abus killed in Sulu clash",24,2,2015,156600000,156611000,-99,2,4,927,5008,121.0661577,6.078396055,35,5
2 Sayyaf kidnap victims freed,1,11,2018,156600000,156607000,-99,16,5,915,5017,121.1721245,6.008079217,2,5
2 Sayyaf men killed in Sulu,9,12,2017,156600000,156611000,-99,1,6,927,5017,121.0333653,6.038444204,2,5
2 Sayyaf men nabbed; improvised bombs seized,14,1,2020,-99,-99,99701000,1,2,2036,3015,121.9689345,6.688683599,2,3
2 Sayyaf sub-leaders wounded in Sulu clash,28,8,2015,156600000,156611000,-99,1,4,927,5008,121.0333653,6.038444204,307,5
2 Sayyafs surrender,18,9,2019,156600000,156605000,-99,1,14,2042,3015,121.0124922,5.966588429,2,3
2 shot dead in Cotabato City (2 patay sa pagpamusil) ,30,11,2011,-99,-99,129804000,16,6,2031,-98,124.2310439,7.2046668,4,9
"2 slain, 2 hurt in explosion of improvised explosive device (IED) in Datu Odin Sinsuat, Maguindanao",15,12,2011,153800000,153807000,-99,-98,4,926,5009,124.3180412,7.017247023,3,5
2 snatchers apprehended for illegal possession of firearms,28,6,2013,153800000,153807000,-99,16,9,2037,8008,124.2866091,7.062732,2,8
2 soldiers escape bombing attempt (2 sundalo nakaligtas sa panghahagis ng granada sa karenderya),2,12,2019,-99,-99,129804000,-98,9,2037,8008,124.2466,7.203677434,3,8
2 soldiers hurt in Sulu attack,5,2,2015,156600000,156611000,-99,2,4,927,5008,121.0507561,6.025493583,18,5
"2 soldiers killed in encounter given military honors (2 sundalo patay sa engkwentro, gihatagan og military honors)",3,1,2015,153800000,153812000,-99,2,-98,927,2014,124.7077665,6.8278241,57,2
2 soldiers killed in Sulu ambush,9,8,2015,156600000,156611000,-99,2,6,905,5008,121.0333653,6.038444204,5,5
2 soldiers wounded in an attack by BIFF (2 sundalo angol sa pag-atake sa BIFF),9,3,2016,153800000,153806000,-99,2,4,927,5017,124.497303,7.014443784,19,5
2 soldiers wounded in clash with NPA in Lanao,28,7,2019,153600000,153611000,-99,9,-98,926,5008,124.381555,7.828498488,52,5
"2 Soldiers, 9 BIFF men Killed in Maguindanao",6,3,2020,153800000,153801000,-99,2,6,927,5017,124.4024674,6.81089747,19,5
